home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Referee,Host,Year
IR Iran,Nigeria,0,0,Carlos Queiroz,Stephen Keshi,39081,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,Carlos Vera,Brazil,2014
Ghana,United States,1,2,Kwesi Appiah,Jürgen Klinsmann,39760,"Arena das Dunas, Natal",Group stage,Jonas Eriksson,Brazil,2014
Switzerland,Ecuador,2,1,Ottmar Hitzfeld,Reinaldo Rueda,68351,"Estádio Nacional de Brasília, Brasília",Group stage,Ravshan Irmatov,Brazil,2014
France,Honduras,3,0,Didier Deschamps,Luis Suárez,43012,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,Sandro Ricci,Brazil,2014
Argentina,Bosnia and Herzegovina,2,1,Alejandro Sabella,Safet Sušić,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,Joel Aguilar,Brazil,2014
Colombia,Greece,3,0,José Pekerman,Fernando Santos,57174,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,Mark Geiger,Brazil,2014
Uruguay,Costa Rica,1,3,Óscar Tabárez,Jorge Luis Pinto,58679,"Estádio Castelão, Fortaleza",Group stage,Felix Brych,Brazil,2014
England,Italy,1,2,Roy Hodgson,Cesare Prandelli,39800,"Arena da Amazônia, Manaus",Group stage,Björn Kuipers,Brazil,2014
Côte d'Ivoire,Japan,2,1,Sabri Lamouchi,Alberto Zaccheroni,40267,"Itaipava Arena Pernambuco, Recife",Group stage,Enrique Osses,Brazil,2014
Mexico,Cameroon,1,0,Miguel Herrera,Volker Finke,39216,"Arena das Dunas, Natal",Group stage,Wilmar Roldán,Brazil,2014
Spain,Netherlands,1,5,Del Bosque,Louis van Gaal,48173,"Itaipava Arena Fonte Nova, Salvador",Group stage,Nicola Rizzoli,Brazil,2014
Chile,Australia,3,1,Jorge Sampaoli,Ange Postecoglou,40275,"Arena Pantanal, Cuiabá",Group stage,Noumandiez Doué,Brazil,2014
Brazil,Croatia,3,1,Luiz Felipe Scolari,Niko Kovač,62103,"Arena Corinthians, São Paulo",Group stage,Yuichi Nishimura,Brazil,2014
Netherlands,Spain,0,1,Bert van Marwijk,Vicente del Bosque,84490,"Soccer City, Johannesburg",Final,Howard Webb,South Africa,2010
Uruguay,Germany,2,3,Óscar Tabárez,Joachim Löw,36254,"Nelson Mandela Bay Stadium, Port Elizabeth",Third-place match,,South Africa,2010
Germany,Spain,0,1,Joachim Löw,Vicente del Bosque,60960,"Moses Mabhida Stadium, Durban",Semi-finals,,South Africa,2010
Uruguay,Netherlands,2,3,Óscar Tabárez,Bert van Marwijk,62479,"Cape Town Stadium, Cape Town",Semi-finals,,South Africa,2010
Argentina,Germany,0,4,Diego Maradona,Joachim Löw,64100,"Cape Town Stadium, Cape Town",Quarter-finals,,South Africa,2010
Paraguay,Spain,0,1,Gerardo Martino,Vicente del Bosque,55359,"Emirates Airline Park, Johannesburg",Quarter-finals,,South Africa,2010
Netherlands,Brazil,2,1,Bert van Marwijk,Dunga,40186,"Nelson Mandela Bay Stadium, Port Elizabeth",Quarter-finals,,South Africa,2010
Uruguay,Ghana,1,1,Óscar Tabárez,Milovan Rajevac,84017,"Soccer City, Johannesburg",Quarter-finals,,South Africa,2010
Paraguay,Japan,0,0,Gerardo Martino,Takeshi Okada,36742,"Loftus Versfeld Stadium, Pretoria",Round of 16,,South Africa,2010
Spain,Portugal,1,0,Vicente del Bosque,Carlos Queiroz,62955,"Cape Town Stadium, Cape Town",Round of 16,,South Africa,2010
Netherlands,Slovakia,2,1,Bert van Marwijk,Vladimír Weiss,61962,"Moses Mabhida Stadium, Durban",Round of 16,,South Africa,2010
Brazil,Chile,3,0,Dunga,Marcelo Bielsa,54096,"Emirates Airline Park, Johannesburg",Round of 16,,South Africa,2010
Germany,England,4,1,Joachim Löw,Fabio Capello,40510,"Toyota Stadium, Bloemfontein",Round of 16,,South Africa,2010
Argentina,Mexico,3,1,Diego Maradona,Javier Aguirre,84377,"Soccer City, Johannesburg",Round of 16,,South Africa,2010
Uruguay,Korea Republic,2,1,Óscar Tabárez,Huh Jung-moo,30597,"Nelson Mandela Bay Stadium, Port Elizabeth",Round of 16,,South Africa,2010
United States,Ghana,1,2,Bob Bradley,Milovan Rajevac,34976,"Royal Bafokeng Stadium, Phokeng",Round of 16,,South Africa,2010
Portugal,Brazil,0,0,Carlos Queiroz,Dunga,62712,"Moses Mabhida Stadium, Durban",Group stage,,South Africa,2010
Korea DPR,Côte d'Ivoire,0,3,Kim Jong-hun,Sven-Göran Eriksson,34763,"Mbombela Stadium, Nelspruit",Group stage,,South Africa,2010
Chile,Spain,1,2,Marcelo Bielsa,Vicente del Bosque,41958,"Loftus Versfeld Stadium, Pretoria",Group stage,,South Africa,2010
Switzerland,Honduras,0,0,Ottmar Hitzfeld,Reinaldo Rueda,28042,"Toyota Stadium, Bloemfontein",Group stage,,South Africa,2010
Paraguay,New Zealand,0,0,Gerardo Martino,Ricki Herbert,34850,"Peter Mokaba Stadium, Polokwane",Group stage,,South Africa,2010
Slovakia,Italy,3,2,Vladimír Weiss,Marcello Lippi,53412,"Emirates Airline Park, Johannesburg",Group stage,,South Africa,2010
Denmark,Japan,1,3,Morten Olsen,Takeshi Okada,27967,"Royal Bafokeng Stadium, Phokeng",Group stage,,South Africa,2010
Cameroon,Netherlands,1,2,Paul Le Guen,Bert van Marwijk,63093,"Cape Town Stadium, Cape Town",Group stage,,South Africa,2010
Slovenia,England,0,1,Matjaž Kek,Fabio Capello,36893,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,,South Africa,2010
United States,Algeria,1,0,Bob Bradley,Rabah Saâdane,35827,"Loftus Versfeld Stadium, Pretoria",Group stage,,South Africa,2010
Ghana,Germany,0,1,Milovan Rajevac,Joachim Löw,83391,"Soccer City, Johannesburg",Group stage,,South Africa,2010
Australia,Serbia,2,1,Pim Verbeek,Radomir Antić,37836,"Mbombela Stadium, Nelspruit",Group stage,,South Africa,2010
Mexico,Uruguay,0,1,Javier Aguirre,Óscar Tabárez,33425,"Royal Bafokeng Stadium, Phokeng",Group stage,,South Africa,2010
France,South Africa,1,2,Raymond Domenech,Carlos Alberto Parreira,39415,"Toyota Stadium, Bloemfontein",Group stage,,South Africa,2010
Nigeria,Korea Republic,2,2,Lars Lagerbäck,Huh Jung-moo,61874,"Moses Mabhida Stadium, Durban",Group stage,,South Africa,2010
Greece,Argentina,0,2,Otto Rehhagel,Diego Maradona,38891,"Peter Mokaba Stadium, Polokwane",Group stage,,South Africa,2010
Portugal,Korea DPR,7,0,Carlos Queiroz,Kim Jong-hun,63644,"Cape Town Stadium, Cape Town",Group stage,,South Africa,2010
Chile,Switzerland,1,0,Marcelo Bielsa,Ottmar Hitzfeld,34872,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,,South Africa,2010
Spain,Honduras,2,0,Vicente del Bosque,Reinaldo Rueda,54386,"Emirates Airline Park, Johannesburg",Group stage,,South Africa,2010
Slovakia,Paraguay,0,2,Vladimír Weiss,Gerardo Martino,26643,"Toyota Stadium, Bloemfontein",Group stage,,South Africa,2010
Italy,New Zealand,1,1,Marcello Lippi,Ricki Herbert,38229,"Mbombela Stadium, Nelspruit",Group stage,,South Africa,2010
Brazil,Côte d'Ivoire,3,1,Dunga,Sven-Göran Eriksson,84455,"Soccer City, Johannesburg",Group stage,,South Africa,2010
Netherlands,Japan,1,0,Bert van Marwijk,Takeshi Okada,62010,"Moses Mabhida Stadium, Durban",Group stage,,South Africa,2010
Ghana,Australia,1,1,Milovan Rajevac,Pim Verbeek,34812,"Royal Bafokeng Stadium, Phokeng",Group stage,,South Africa,2010
Cameroon,Denmark,1,2,Paul Le Guen,Morten Olsen,38074,"Loftus Versfeld Stadium, Pretoria",Group stage,,South Africa,2010
Germany,Serbia,0,1,Joachim Löw,Radomir Antić,38294,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,,South Africa,2010
Slovenia,United States,2,2,Matjaž Kek,Bob Bradley,45573,"Emirates Airline Park, Johannesburg",Group stage,,South Africa,2010
England,Algeria,0,0,Fabio Capello,Rabah Saâdane,64100,"Cape Town Stadium, Cape Town",Group stage,,South Africa,2010
Argentina,Korea Republic,4,1,Diego Maradona,Huh Jung-moo,82174,"Soccer City, Johannesburg",Group stage,,South Africa,2010
Greece,Nigeria,2,1,Otto Rehhagel,Lars Lagerbäck,31593,"Toyota Stadium, Bloemfontein",Group stage,,South Africa,2010
France,Mexico,0,2,Raymond Domenech,Javier Aguirre,35370,"Peter Mokaba Stadium, Polokwane",Group stage,,South Africa,2010
Honduras,Chile,0,1,Reinaldo Rueda,Marcelo Bielsa,32664,"Mbombela Stadium, Nelspruit",Group stage,,South Africa,2010
Spain,Switzerland,0,1,Vicente del Bosque,Ottmar Hitzfeld,62453,"Moses Mabhida Stadium, Durban",Group stage,,South Africa,2010
South Africa,Uruguay,0,3,Carlos Alberto Parreira,Óscar Tabárez,42658,"Loftus Versfeld Stadium, Pretoria",Group stage,,South Africa,2010
New Zealand,Slovakia,1,1,Ricki Herbert,Vladimír Weiss,23871,"Royal Bafokeng Stadium, Phokeng",Group stage,,South Africa,2010
Côte d'Ivoire,Portugal,0,0,Sven-Göran Eriksson,Carlos Queiroz,37034,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,,South Africa,2010
Brazil,Korea DPR,2,1,Dunga,Kim Jong-hun,54331,"Emirates Airline Park, Johannesburg",Group stage,,South Africa,2010
Netherlands,Denmark,2,0,Bert van Marwijk,Morten Olsen,83465,"Soccer City, Johannesburg",Group stage,,South Africa,2010
Japan,Cameroon,1,0,Takeshi Okada,Paul Le Guen,30620,"Toyota Stadium, Bloemfontein",Group stage,,South Africa,2010
Italy,Paraguay,1,1,Marcello Lippi,Gerardo Martino,62869,"Cape Town Stadium, Cape Town",Group stage,,South Africa,2010
Algeria,Slovenia,0,1,Rabah Saâdane,Matjaž Kek,30325,"Peter Mokaba Stadium, Polokwane",Group stage,,South Africa,2010
Serbia,Ghana,0,1,Radomir Antić,Milovan Rajevac,38833,"Loftus Versfeld Stadium, Pretoria",Group stage,,South Africa,2010
Germany,Australia,4,0,Joachim Löw,Pim Verbeek,62660,"Moses Mabhida Stadium, Durban",Group stage,,South Africa,2010
Korea Republic,Greece,2,0,Huh Jung-moo,Otto Rehhagel,31513,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,,South Africa,2010
Argentina,Nigeria,1,0,Diego Maradona,Lars Lagerbäck,55686,"Emirates Airline Park, Johannesburg",Group stage,,South Africa,2010
England,United States,1,1,Fabio Capello,Bob Bradley,38646,"Royal Bafokeng Stadium, Phokeng",Group stage,,South Africa,2010
South Africa,Mexico,1,1,Carlos Alberto Parreira,Javier Aguirre,84490,"Soccer City, Johannesburg",Group stage,,South Africa,2010
Uruguay,France,0,0,Óscar Tabárez,Raymond Domenech,64100,"Cape Town Stadium, Cape Town",Group stage,,South Africa,2010
Italy,France,1,1,Marcello Lippi,Raymond Domenech,69000,"Olympiastadion Berlin, Berlin",Final,,Germany,2006
Germany,Portugal,3,1,Jürgen Klinsmann,Luiz Felipe Scolari,52000,"Mercedes-Benz Arena, Stuttgart",Third-place match,,Germany,2006
Portugal,France,0,1,Luiz Felipe Scolari,Raymond Domenech,66000,"Allianz Arena, München",Semi-finals,,Germany,2006
Germany,Italy,0,2,Jürgen Klinsmann,Marcello Lippi,65000,"Signal Iduna Park, Dortmund",Semi-finals,,Germany,2006
England,Portugal,0,0,Sven-Göran Eriksson,Luiz Felipe Scolari,52000,"Veltins-Arena, Gelsenkirchen",Quarter-finals,,Germany,2006
Brazil,France,0,1,Carlos Alberto Parreira,Raymond Domenech,48000,"Commerzbank-Arena, Frankfurt am Main",Quarter-finals,,Germany,2006
Germany,Argentina,1,1,Jürgen Klinsmann,José Pékerman,72000,"Olympiastadion Berlin, Berlin",Quarter-finals,,Germany,2006
Italy,Ukraine,3,0,Marcello Lippi,Oleh Blokhin,50000,"Volksparkstadion, Hamburg",Quarter-finals,,Germany,2006
Brazil,Ghana,3,0,Carlos Alberto Parreira,Ratomir Dujković,65000,"Signal Iduna Park, Dortmund",Round of 16,,Germany,2006
Spain,France,1,3,Luis Aragonés,Raymond Domenech,43000,"HDI-Arena, Hannover",Round of 16,,Germany,2006
Italy,Australia,1,0,Marcello Lippi,Guus Hiddink,46000,"Fritz-Walter-Stadion, Kaiserslautern",Round of 16,,Germany,2006
Switzerland,Ukraine,0,0,Köbi Kuhn,Oleh Blokhin,45000,"RheinEnergieSTADION, Köln",Round of 16,,Germany,2006
England,Ecuador,1,0,Sven-Göran Eriksson,Luis Fernando Suárez,52000,"Mercedes-Benz Arena, Stuttgart",Round of 16,,Germany,2006
Portugal,Netherlands,1,0,Luiz Felipe Scolari,Marco van Basten,41000,"Max-Morlock-Stadion, Nürnberg",Round of 16,,Germany,2006
Germany,Sweden,2,0,Jürgen Klinsmann,Lars Lagerbäck,66000,"Allianz Arena, München",Round of 16,,Germany,2006
Argentina,Mexico,2,1,José Pékerman,Ricardo La Volpe,43000,"Red Bull Arena, Leipzig",Round of 16,,Germany,2006
Saudi Arabia,Spain,0,1,Marcos Paquetá,Luis Aragonés,46000,"Fritz-Walter-Stadion, Kaiserslautern",Group stage,,Germany,2006
Ukraine,Tunisia,1,0,Oleh Blokhin,Roger Lemerre,72000,"Olympiastadion Berlin, Berlin",Group stage,,Germany,2006
Togo,France,0,2,Otto Pfister,Raymond Domenech,45000,"RheinEnergieSTADION, Köln",Group stage,,Germany,2006
Switzerland,Korea Republic,2,0,Köbi Kuhn,Dick Advocaat,43000,"HDI-Arena, Hannover",Group stage,,Germany,2006
Ghana,United States,2,1,Ratomir Dujković,Bruce Arena,41000,"Max-Morlock-Stadion, Nürnberg",Group stage,,Germany,2006
Czech Republic,Italy,0,2,Karel Brückner,Marcello Lippi,50000,"Volksparkstadion, Hamburg",Group stage,,Germany,2006
Japan,Brazil,1,4,Zico,Carlos Alberto Parreira,65000,"Signal Iduna Park, Dortmund",Group stage,,Germany,2006
Croatia,Australia,2,2,Zlatko Kranjčar,Guus Hiddink,52000,"Mercedes-Benz Arena, Stuttgart",Group stage,,Germany,2006
Portugal,Mexico,2,1,Luiz Felipe Scolari,Ricardo La Volpe,52000,"Veltins-Arena, Gelsenkirchen",Group stage,,Germany,2006
IR Iran,Angola,1,1,Branko Ivanković,Oliveira Gonçalves,38000,"Red Bull Arena, Leipzig",Group stage,,Germany,2006
Côte d'Ivoire,Serbia and Montenegro,3,2,Henri Michel,Ilija Petković,66000,"Allianz Arena, München",Group stage,,Germany,2006
Netherlands,Argentina,0,0,Marco van Basten,José Pékerman,48000,"Commerzbank-Arena, Frankfurt am Main",Group stage,,Germany,2006
Costa Rica,Poland,1,2,Alexandre Guimarães,Paweł Janas,43000,"HDI-Arena, Hannover",Group stage,,Germany,2006
Ecuador,Germany,0,3,Luis Fernando Suárez,Jürgen Klinsmann,72000,"Olympiastadion Berlin, Berlin",Group stage,,Germany,2006
Paraguay,Trinidad and Tobago,2,0,Aníbal Ruiz,Leo Beenhakker,46000,"Fritz-Walter-Stadion, Kaiserslautern",Group stage,,Germany,2006
Sweden,England,2,2,Lars Lagerbäck,Sven-Göran Eriksson,45000,"RheinEnergieSTADION, Köln",Group stage,,Germany,2006
Togo,Switzerland,0,2,Otto Pfister,Köbi Kuhn,65000,"Signal Iduna Park, Dortmund",Group stage,,Germany,2006
Saudi Arabia,Ukraine,0,4,Marcos Paquetá,Oleh Blokhin,50000,"Volksparkstadion, Hamburg",Group stage,,Germany,2006
Spain,Tunisia,3,1,Luis Aragonés,Roger Lemerre,52000,"Mercedes-Benz Arena, Stuttgart",Group stage,,Germany,2006
Japan,Croatia,0,0,Zico,Zlatko Kranjčar,41000,"Max-Morlock-Stadion, Nürnberg",Group stage,,Germany,2006
Brazil,Australia,2,0,Carlos Alberto Parreira,Guus Hiddink,66000,"Allianz Arena, München",Group stage,,Germany,2006
France,Korea Republic,1,1,Raymond Domenech,Dick Advocaat,43000,"Red Bull Arena, Leipzig",Group stage,,Germany,2006
Portugal,IR Iran,2,0,Luiz Felipe Scolari,Branko Ivanković,48000,"Commerzbank-Arena, Frankfurt am Main",Group stage,,Germany,2006
Czech Republic,Ghana,0,2,Karel Brückner,Ratomir Dujković,45000,"RheinEnergieSTADION, Köln",Group stage,,Germany,2006
